treated,nondiscrim_law_t3,therm_trans_t2,therm_obama_t1,gender_norm_moral_t1,nondiscrim_law_t0,therm_trans_t0,therm_obama_t0,gender_norm_moral_t0,ideology_t0,religious_t0,exposure_trans_t0,pid_t0,vf_democrat,vf_female,vf_hispanic,vf_black,vf_age,nondiscrim_law_diff
1,0.5,2,100,-1,1,1,98,-1,-1,5,0,2,1,1,0,1,56,-0.5
0,NA,NA,NA,NA,-1,0,100,-1,0,1,1,2,1,0,0,1,34,NA
0,NA,1,100,1,2.5,1,81,1,2,3,1,2,1,0,0,0,50,NA
0,-3,NA,70,-1,2.5,0,57,-0,-2,4,0,-2,0,1,1,0,19,-5.5
0,-1.5,1,50,-1,-1.5,0,21,-2,-2,4,1,-1,0,1,0,0,41,0
0,-0.5,0,50,-2,-2,0,45,-2,-2,5,0,-3,0,1,0,0,19,1.5
0,1,0,50,-1,1.5,1,88,-1,1,1,0,3,1,0,0,1,70,-0.5
1,NA,1,100,-2,2,1,50,-0,0,4,1,1,1,0,0,1,32,NA
1,NA,NA,NA,NA,3,1,100,-0,0,3,1,3,1,1,0,1,36,NA
0,NA,NA,NA,NA,0,0,50,-0,0,5,0,0,1,0,1,0,66,NA
1,NA,NA,NA,NA,0,0,61,-0,0,3,0,3,1,0,0,1,22,NA
0,NA,NA,NA,NA,-1.5,0,95,2,-2,5,1,3,1,0,0,1,58,NA
0,2,2,90,-0,2,2,96,1,-2,1,0,2,1,0,0,0,71,0
1,3,2,99,-1,2,0,95,-0,-2,0,0,3,1,0,0,1,37,1
0,NA,NA,100,-0,2,1,100,-2,-1,1,1,-3,0,1,0,0,23,NA
0,3,2,50,-0,2.5,2,95,1,2,1,1,3,1,0,0,1,49,0.5
0,NA,NA,100,-0,-0.5,1,100,-0,0,1,1,3,1,1,0,1,29,NA
1,-3,0,84,-2,1,0,100,-0,0,0,0,2,0,1,1,0,45,-4
1,0.5,0,100,-2,2.5,2,100,-0,2,3,0,3,1,0,0,1,73,-2
